SourceGENES,TargetGENES,Interaction,Edges
g60,g51,0.043721977208102,repression
g25,g39,0.0436799576022234,activation
g34,g58,0.0436272386749893,repression
g5,g45,0.0434755310607167,activation
g61,g2,0.0431486955601422,activation
g16,g15,0.0431411629294887,activation
g8,g61,0.0428981884679062,repression
g19,g38,0.0428058756844804,activation
g45,g37,0.0427816881570987,activation
g60,g58,0.0427674486306344,repression
g9,g15,0.0426840570662375,activation
g49,g50,0.042664856780833,repression
g26,g27,0.0425340952426645,repression
g51,g0,0.0424403869602443,repression
g19,g36,0.0424070381726557,repression
g6,g3,0.042324442630275,repression
g19,g58,0.0423241630883438,activation
g45,g33,0.0423183282686937,repression
g40,g57,0.0421501099075358,repression
g19,g23,0.0420666681914967,repression
g1,g39,0.0420326032409068,repression
g56,g52,0.0417907516380896,repression
g26,g5,0.0416135901079709,activation
g15,g19,0.0415444546053294,activation
g36,g31,0.0415300496462229,activation
g3,g37,0.0415171233069692,repression
g22,g46,0.0414636316661728,repression
g30,g36,0.0414172363197353,activation
g61,g17,0.041254200171795,repression
g30,g42,0.0412506509523685,repression
g48,g46,0.0412258484148057,activation
g3,g26,0.0411924122635396,repression
g48,g25,0.0411188974769798,activation
g45,g38,0.0410756605296183,activation
g45,g61,0.0410591436391226,activation
g25,g26,0.0409731744574575,activation
g31,g55,0.0409524692334827,activation
g9,g19,0.0407534060450306,activation
g48,g35,0.0405398015807861,repression
g49,g26,0.0404632575487283,activation
g3,g52,0.0404321788653503,repression
g56,g6,0.0404157193898103,activation
g60,g44,0.0401971995038988,activation
g27,g14,0.0399755083596728,repression
g30,g37,0.0398098558038165,activation
g27,g18,0.0397658824649062,activation
g3,g53,0.039554816842723,activation
g60,g17,0.0395429542230882,repression
g34,g14,0.0394813727130759,activation
g49,g7,0.0393952700539408,repression
g61,g3,0.0393440097857777,activation
g61,g64,0.0392570177651952,repression
g46,g62,0.0392444074998234,activation
g25,g24,0.0392126356655842,activation
g34,g20,0.0391923409477458,activation
g34,g0,0.0391586624187727,repression
g9,g39,0.039094879511894,repression
g53,g4,0.0389619706235071,repression
g51,g24,0.0389030432589413,activation
g56,g50,0.0387368855818672,repression
g26,g50,0.0387272639645426,activation
g3,g38,0.0387159082957119,activation
g56,g45,0.0385216157413441,activation
g58,g46,0.0384406965333982,repression
g5,g56,0.0384223159210421,repression
g53,g26,0.0384035174714194,activation
g60,g25,0.0383827779755742,repression
g30,g38,0.0383265183185374,activation
g19,g7,0.0382761464833152,repression
g34,g10,0.0380318343468975,activation
g26,g43,0.0380284107717358,repression
g16,g51,0.0378441282240544,repression
g8,g4,0.037696918300118,activation
g34,g62,0.0375892231421759,repression
g34,g32,0.0373642744891395,repression
g27,g6,0.0372712454898828,activation
g61,g19,0.0372697460674674,repression
