TF	target	importance
g22	g9	0.03701810921148553
g20	g14	0.03696129538729392
g9	g43	0.03680438160695059
g13	g59	0.03679049194235896
g41	g22	0.03672928415676171
g17	g40	0.036722373259160127
g36	g38	0.03671305654178307
g20	g9	0.03663205565324451
g1	g43	0.036530304834925593
g50	g30	0.036442886753592044
g20	g40	0.03642854102413256
g9	g15	0.036206941487846096
g41	g17	0.036193005730602926
g14	g12	0.0360608290527921
g61	g19	0.03586650346216045
g39	g54	0.03570163733130873
g6	g2	0.035679026318727824
g41	g52	0.03548569643617144
g19	g8	0.035407689696639225
g55	g11	0.035313906355293634
g1	g5	0.03527752638488309
g41	g37	0.03527390325175533
g12	g62	0.03526045666583557
g47	g11	0.035225903884060716
g14	g25	0.03522017395989812
g22	g10	0.03509818083999783
g16	g62	0.035027314727158816
g61	g54	0.0350181878448913
g61	g21	0.03501290812350888
g14	g20	0.03496693356168034
g63	g6	0.03461433079306899
g4	g30	0.034612425528040565
g61	g1	0.03445552511820896
g4	g49	0.03427238123542692
g22	g31	0.03415549645327369
g14	g37	0.03412339450683045
g17	g10	0.03393598437535587
g48	g26	0.03383276030281774
g56	g7	0.033751040547264057
g22	g40	0.03366263799702036
g13	g11	0.03352839832693879
g3	g33	0.03350314503376417
g10	g15	0.03342102218231627
g2	g5	0.03333310077221639
g17	g14	0.033208662797817416
g17	g31	0.03316028104655258
g53	g4	0.03303292124901289
g20	g36	0.0328290500934331
g46	g38	0.03282595806745115
g6	g8	0.032759908641817416
g18	g9	0.03271283907053076
g50	g61	0.03266455880177561
g63	g50	0.03263177139548776
g18	g62	0.032601879735781984
g31	g21	0.03254122885201657
g48	g21	0.03251053315248323
g18	g16	0.03248314341407276
g61	g55	0.03243414738943415
