Gene1	Gene2	EdgeWeight
g22	g57	7.518898965191527
g4	g35	7.49957076777972
g43	g48	7.480791957589519
g18	g10	7.464063519151348
g31	g46	7.463592542623748
g12	g46	7.443617810055374
g31	g8	7.431598276423262
g13	g16	7.428650164862814
g1	g45	7.4262211187354055
g8	g43	7.414616580784547
g0	g33	7.402045464163735
g40	g9	7.397914569889762
g60	g16	7.393721561585461
g56	g50	7.386200836807336
g22	g29	7.385615556720795
g18	g29	7.370662758155523
g50	g62	7.367760601236286
g47	g10	7.363631545204438
g40	g30	7.361996102772562
g2	g64	7.360688669683809
g46	g22	7.341958067547605
g30	g43	7.309145226814164
g9	g15	7.292799935568303
g11	g12	7.2783906469587585
g39	g26	7.2719045663273025
g50	g56	7.243441878869849
g59	g17	7.23543292504346
g2	g15	7.213644395549093
g3	g43	7.199988084114142
g8	g63	7.186949260291379
g7	g6	7.15438118124953
g8	g2	7.1310983212637264
g13	g11	7.122247184493912
g49	g4	7.113677203426467
g47	g7	7.099298368907945
g61	g63	7.085406636216916
g56	g4	7.080708204489285
g59	g48	7.051179187260552
g17	g10	6.992034031646098
g43	g8	6.939811326045794
g48	g61	6.938978939678358
g30	g8	6.936282467952314
g26	g39	6.936234926098473
g12	g9	6.919828046231976
g15	g63	6.918730784784023
g12	g44	6.883981403146093
g26	g50	6.878801117791967
g12	g36	6.875666251988478
g40	g15	6.874576972435053
g20	g48	6.866890928642987
g12	g21	6.853702597466853
g1	g5	6.85048143829471
g34	g1	6.8454222457815845
g48	g43	6.842396155929094
g50	g30	6.825846785545332
g14	g51	6.8253143952818665
g17	g62	6.7802295282534155
g17	g64	6.779015084624263
g47	g52	6.76247407189968
g20	g44	6.759632220675704
g18	g53	6.748275974892576
g18	g9	6.740013201856924
g48	g63	6.7322713456925145
g11	g20	6.713786646537996
g22	g55	6.709865449455714
g40	g12	6.692838818860038
g59	g16	6.6856733257175405
g59	g47	6.663240259730044
g6	g3	6.661949827253454
g40	g47	6.606894382555819
g47	g44	6.604128831324644
g8	g19	6.595966633217902
g56	g6	6.5950641548079805
g29	g57	6.5854305084027995
g22	g21	6.57971037409459
g13	g37	6.567866369895262
g17	g37	6.565410534272204
g25	g47	6.564361653402962
g9	g40	6.559431770371756
g32	g5	6.543647950746406
g7	g43	6.534311861388551
g55	g50	6.489804163419894
g41	g59	6.481698226297317
g48	g1	6.479137406221347
g8	g1	6.4710736531492605
g6	g57	6.464624813747343
g11	g17	6.4640498439295095
g13	g48	6.4471055466095235
g13	g57	6.446410823875011
g56	g64	6.441102373015995
g17	g59	6.4401103307670615
g8	g15	6.437446338814184
g46	g17	6.435658599901089
g57	g40	6.4223201398231575
g6	g30	6.409845599242918
g13	g51	6.398461386509503
g13	g21	6.398457504191613
g6	g48	6.390868479140862
g35	g4	6.383457082475626
g12	g26	6.3730535728347055
g15	g43	6.357338505142295
g21	g61	6.346907943725995
g20	g62	6.329628374424923
g20	g57	6.316994666923032
g51	g14	6.3126416718384135
g14	g7	6.310657253324614
g59	g15	6.3083845678815225
g6	g15	6.305125061823852
g31	g41	6.304312688655269
g55	g40	6.298458449200423
g48	g19	6.244504150683073
g15	g55	6.203872138403777
g41	g20	6.1970526580843615
g36	g20	6.189304277362472
g48	g31	6.176833282790822
g15	g6	6.168104013338803
g21	g59	6.160462688518013
g53	g44	6.149947920994366
g17	g25	6.148997775178393
g22	g62	6.145598130747081
g31	g36	6.133839383033563
g26	g9	6.11367400973153
g19	g55	6.098795190562544
g55	g61	6.0919358150693075
g8	g50	6.080904194337113
g22	g25	6.077578366314567
g17	g36	6.066869307688807
g40	g50	6.0655712426823305
g55	g11	6.063393173464527
g2	g48	6.060590473887031
g59	g36	6.055917616402271
g47	g19	6.0335764333706425
g40	g1	6.0284822625268175
g56	g40	6.002583868982044
g50	g2	5.9737127053491506
g21	g33	5.962406055121912
g61	g7	5.960067650108751
g21	g50	5.926592786732953
g18	g62	5.894769912544567
g30	g5	5.85695244092888
