,P.Value,adj.P.Val,logFC,gene,lateral line
ENSDARG00000095897,0.270093808,0.999737975,0.441597567,atp5e,FALSE
ENSDARG00000025858,0.270501763,0.999737975,-1.169042244,GOLM1,FALSE
ENSDARG00000053912,0.272661066,0.999737975,0.500104897,fbl,FALSE
ENSDARG00000096527,0.273288319,0.999737975,-1.227137163,si:dkey-18j14.5,FALSE
ENSDARG00000025789,0.273458782,0.999737975,0.772818505,chd4b,FALSE
ENSDARG00000043484,0.273533041,0.999737975,-0.773615854,ube2d2,FALSE
ENSDARG00000078214,0.275029362,0.999737975,1.165699857,mybbp1a,FALSE
ENSDARG00000014230,0.275488188,0.999737975,-1.362665703,dlst,FALSE
ENSDARG00000003035,0.278914984,0.999737975,0.735885565,hspa9,FALSE
ENSDARG00000038559,0.280173451,0.999737975,0.800265392,h1f0,FALSE
ENSDARG00000046006,0.28025892,0.999737975,-0.951806902,med20,FALSE
ENSDARG00000007294,0.282750029,0.999737975,1.146507575,aco2,FALSE
ENSDARG00000010250,0.283769657,0.999737975,-0.632283406,nqo1,FALSE
ENSDARG00000037639,0.28666926,0.999737975,-0.684410627,nkx3.2,FALSE
ENSDARG00000015325,0.287727392,0.999737975,0.804449629,u2af1,FALSE
ENSDARG00000092889,0.287984887,0.999737975,-0.744770852,SYCE3,FALSE
ENSDARG00000011648,0.289726959,0.999737975,-0.502976759,snrpd1,FALSE
ENSDARG00000054155,0.290184778,0.999737975,-0.935362465,pcna,TRUE
ENSDARG00000070867,0.290271463,0.999737975,0.689075027,smx5,FALSE
ENSDARG00000018890,0.2904746,0.999737975,-0.880219041,snrpa,FALSE
ENSDARG00000053685,0.291796432,0.999737975,-0.960899533,gtf2a2,FALSE
ENSDARG00000054578,0.294084612,0.999737975,0.785269053,arl6ip1,FALSE
ENSDARG00000099439,0.297309009,0.999737975,-0.822776747,serp1,FALSE
ENSDARG00000013307,0.29935496,0.999737975,0.208690449,rpl19,FALSE
ENSDARG00000099776,0.299620289,0.999737975,-0.743231446,glula,FALSE
ENSDARG00000102571,0.300206061,0.999737975,0.67418305,metap2b,FALSE
ENSDARG00000028017,0.300695463,0.999737975,0.741005535,tp53inp1,FALSE
ENSDARG00000070043,0.301231297,0.999737975,0.814266413,dars,FALSE
ENSDARG00000086416,0.301474057,0.999737975,-1.074626897,med11,FALSE
ENSDARG00000035860,0.301694545,0.999737975,-0.147769681,rps28,FALSE
ENSDARG00000101406,0.302147647,0.999737975,-0.231364527,rplp2,FALSE
ENSDARG00000068996,0.30310841,0.999737975,-0.473957548,hist2h2l,FALSE
ENSDARG00000088091,0.30391152,0.999737975,0.776596162,pfn1,FALSE
ENSDARG00000054290,0.304693559,0.999737975,-0.597011512,acin1a,FALSE
ENSDARG00000040874,0.3054411,0.999737975,-1.005134304,add3a,FALSE
ENSDARG00000105231,0.307308356,0.999737975,0.802307808,setd8a,FALSE
ENSDARG00000071060,0.307366228,0.999737975,-0.584291466,naa10,FALSE
ENSDARG00000104674,0.307475658,0.999737975,0.463999802,CCT2 (1 to many),FALSE
ENSDARG00000104687,0.307505033,0.999737975,0.766490628,slc16a9b,FALSE
ENSDARG00000025326,0.310176749,0.999737975,-0.816697539,myl12.2,FALSE
ENSDARG00000070019,0.310627466,0.999737975,-0.49635175,taf15,FALSE
ENSDARG00000007682,0.311053952,0.999737975,-0.72264499,ppdpfa,FALSE
ENSDARG00000004452,0.311088785,0.999737975,0.697014353,tardbpl,FALSE
ENSDARG00000008188,0.312081137,0.999737975,-0.870656453,sf1,FALSE
ENSDARG00000054911,0.312244102,0.999737975,-0.326114517,tmsb,FALSE
ENSDARG00000090912,0.313050022,0.999737975,-0.642281021,npc2,FALSE
ENSDARG00000038076,0.313333,0.999737975,0.558249294,romo1,FALSE
ENSDARG00000057437,0.314256154,0.999737975,-0.585342152,apodb,FALSE
ENSDARG00000005423,0.314897964,0.999737975,0.631346701,pgam1a,FALSE
ENSDARG00000039830,0.317921055,0.999737975,0.653100472,gng5,FALSE
ENSDARG00000086288,0.318880458,0.999737975,1.5841918,scg3,FALSE
ENSDARG00000037488,0.319134196,0.999737975,-0.737226434,canx,TRUE
ENSDARG00000099213,0.319692182,0.999737975,0.885106341,glyr1,FALSE
ENSDARG00000037259,0.320126084,0.999737975,-0.691743995,ndufb6,FALSE
ENSDARG00000057026,0.320783479,0.999737975,0.413465884,ran,TRUE
ENSDARG00000039887,0.321371419,0.999737975,0.823923858,c1qbp,FALSE
ENSDARG00000017772,0.321689737,0.999737975,0.80610182,mdh1aa,FALSE
ENSDARG00000036298,0.3225351,0.999737975,-0.193683917,rps13,FALSE
ENSDARG00000018698,0.322750174,0.999737975,0.893626317,carm1,FALSE
ENSDARG00000030694,0.323392725,0.999737975,1.008243354,atp6v1e1b,FALSE
ENSDARG00000006766,0.325088538,0.999737975,0.989752086,snd1,FALSE
ENSDARG00000100582,0.32531502,0.999737975,-0.439620048,si:ch211-195b11.3,FALSE
ENSDARG00000054807,0.325509736,0.999737975,1.110980408,sec13,FALSE
ENSDARG00000089976,0.325715359,0.999737975,-0.820704705,spcs3,FALSE
ENSDARG00000037284,0.326183962,0.999737975,-0.78875872,ptges3a,FALSE
ENSDARG00000087693,0.328710708,0.999737975,0.800096922,atox1,FALSE
ENSDARG00000087303,0.329918896,0.999737975,1.068195193,cebpd,FALSE
ENSDARG00000014536,0.330092672,0.999737975,0.655878659,pfdn1,FALSE
ENSDARG00000103648,0.330165413,0.999737975,-1.0135259,znf536,FALSE
ENSDARG00000041299,0.332964126,0.999737975,-0.904870899,MSI1 (1 to many),FALSE
ENSDARG00000045928,0.33329397,0.999737975,0.606425702,psma4,FALSE
ENSDARG00000040620,0.334263512,0.999737975,-1.323136359,psmg1,FALSE
ENSDARG00000069920,0.334536735,0.999737975,0.502369998,cox17,FALSE
ENSDARG00000071426,0.33483691,0.999737975,-0.812817811,lrrc59,FALSE
ENSDARG00000061432,0.335213849,0.999737975,-0.607995938,zgc:194330,FALSE
ENSDARG00000089787,0.335986845,0.999737975,-0.784236961,crebzf,FALSE
ENSDARG00000030408,0.336182552,0.999737975,0.244020758,rps26l,FALSE
ENSDARG00000018303,0.336184892,0.999737975,-0.909256369,etv4,FALSE
ENSDARG00000003213,0.339339298,0.999737975,1.191265558,naa15a,FALSE
ENSDARG00000076659,0.340138588,0.999737975,0.916983044,cdca7b,FALSE
ENSDARG00000014731,0.34030213,0.999737975,0.732756096,cacybp,FALSE
ENSDARG00000061228,0.341121373,0.999737975,-0.666846671,pfdn4,FALSE
ENSDARG00000044073,0.341347149,0.999737975,1.250383932,fuca2,FALSE
ENSDARG00000056725,0.34281925,0.999737975,-0.405322207,hmgb3a,FALSE
ENSDARG00000098507,0.34346994,0.999737975,0.753967206,lyar,FALSE
ENSDARG00000054122,0.343731384,0.999737975,-1.389872961,TMEM30B,FALSE
ENSDARG00000074552,0.343753967,0.999737975,0.655493277,ndufs7,FALSE
ENSDARG00000095157,0.343986727,0.999737975,-0.947589786,TMEM14A,FALSE
ENSDARG00000095715,0.347227569,0.999737975,-0.818666199,si:ch211-202e12.3,FALSE
ENSDARG00000059360,0.34793966,0.999737975,-0.453352531,srsf3b,FALSE
ENSDARG00000093406,0.348060155,0.999737975,-0.588119099,zgc:111986,FALSE
ENSDARG00000063596,0.348344894,0.999737975,-1.283470326,wbscr22,FALSE
ENSDARG00000062788,0.348367249,0.999737975,1.020087176,irg1l,FALSE
ENSDARG00000099624,0.348689692,0.999737975,-0.651078377,chmp1b,FALSE
ENSDARG00000042667,0.348693645,0.999737975,-0.486538457,klf2a,FALSE
ENSDARG00000009534,0.349163111,0.999737975,-0.855803168,wls,FALSE
ENSDARG00000099865,0.349240684,0.999737975,-0.316535711,hnrnpabb,FALSE
ENSDARG00000029500,0.350040692,0.999737975,-0.137613009,rpl34,FALSE
ENSDARG00000038577,0.351905086,0.999737975,0.480159667,cox6c,FALSE
ENSDARG00000037071,0.352978909,0.999737975,0.237289494,rps26,FALSE
ENSDARG00000061490,0.353453548,0.999737975,-0.779600559,u2surp,FALSE
ENSDARG00000071403,0.35372565,0.999737975,0.39165345,oaz1a,FALSE
ENSDARG00000016691,0.353863487,0.999737975,-0.320432561,cd9b,TRUE
ENSDARG00000007960,0.354023902,0.999737975,0.320221133,hnrnpaba,FALSE
ENSDARG00000002790,0.354430481,0.999737975,0.614768381,ap2m1a,FALSE
ENSDARG00000015123,0.355164727,0.999737975,-0.483129528,zgc:101000,FALSE
ENSDARG00000100223,0.355206291,0.999737975,-0.807097359,GPA33 (1 to many),FALSE
ENSDARG00000045618,0.35649674,0.999737975,0.740974376,clta,FALSE
ENSDARG00000040334,0.356603525,0.999737975,0.820254892,mat2aa,FALSE
ENSDARG00000063572,0.357154758,0.999737975,-0.810752238,perp,FALSE
ENSDARG00000100252,0.3573582,0.999737975,0.532656189,capzb,FALSE
ENSDARG00000009212,0.357413601,0.999737975,-0.273840126,ppiaa,FALSE
ENSDARG00000052494,0.357896252,0.999737975,-0.582372016,pcdh18b,TRUE
ENSDARG00000012874,0.358165734,0.999737975,0.968994916,snap23.1,FALSE
ENSDARG00000059908,0.358750296,0.999737975,-0.584555389,CCDC86,FALSE
ENSDARG00000102452,0.359574691,0.999737975,-0.452436379,eif3ha,TRUE
ENSDARG00000102417,0.360383725,0.999737975,0.568338012,psmd7,FALSE
ENSDARG00000088137,0.360647373,0.999737975,-1.22092692,ADGRG2 (1 to many),FALSE
ENSDARG00000025332,0.360898707,0.999737975,-0.641686197,rbm28,FALSE
ENSDARG00000102748,0.362378104,0.999737975,-1.510428237,DUT,FALSE
ENSDARG00000070437,0.362419978,0.999737975,0.272988399,rpl22,FALSE
ENSDARG00000011405,0.362780107,0.999737975,-0.165352467,rps9,FALSE
ENSDARG00000063177,0.364349841,0.999737975,-0.826930425,manf,FALSE
ENSDARG00000069940,0.365824057,0.999737975,-0.779659851,ppap2d,FALSE
ENSDARG00000089302,0.365962129,0.999737975,0.648944314,hnrnpa0a,FALSE
ENSDARG00000103735,0.366450203,0.999737975,-0.650150069,elovl1b,FALSE
ENSDARG00000035631,0.366945912,0.999737975,-0.9642487,sdf2l1,FALSE
ENSDARG00000015930,0.367049906,0.999737975,0.634275742,rwdd1,FALSE
ENSDARG00000068822,0.367661218,0.999737975,-1.136438705,purba,FALSE
ENSDARG00000095451,0.368141105,0.999737975,0.329160739,si:ch211-196l7.4,FALSE
ENSDARG00000023299,0.368700988,0.999737975,0.420526152,snu13b,FALSE
ENSDARG00000059308,0.369016284,0.999737975,-1.022449671,golt1bb,FALSE
ENSDARG00000062590,0.369090995,0.999737975,-1.086011943,pleca,FALSE
ENSDARG00000063908,0.36937197,0.999737975,-0.30206064,mt-co2,FALSE
ENSDARG00000073957,0.369705419,0.999737975,1.154921856,tox3,FALSE
ENSDARG00000058094,0.370067587,0.999737975,-0.493726914,ciarta,FALSE
